epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,557.273,0.58805,0.29524,0.78475,0.98453,0.95696,0.98287,0.94992,0.38612,0.29525,0.74591,0.0005744,0.0005744,0.0005744
74,564.846,0.58217,0.29409,0.78571,0.99374,0.95388,0.98158,0.94679,0.41962,0.2952,0.74761,0.0005546,0.0005546,0.0005546
75,572.389,0.55844,0.28585,0.78368,0.99167,0.95327,0.98204,0.95041,0.36065,0.27797,0.74762,0.0005348,0.0005348,0.0005348
76,579.95,0.58514,0.29399,0.78478,0.99089,0.95295,0.98287,0.92941,0.50181,0.30162,0.75131,0.000515,0.000515,0.000515
77,587.498,0.57646,0.29155,0.78469,0.9947,0.95596,0.98263,0.95013,0.41808,0.28932,0.74954,0.0004952,0.0004952,0.0004952
78,595.042,0.55503,0.29195,0.78438,0.99534,0.95495,0.98303,0.94923,0.38887,0.28598,0.74729,0.0004754,0.0004754,0.0004754
79,602.551,0.54666,0.2844,0.78565,0.99455,0.95195,0.98351,0.95328,0.34174,0.27619,0.74689,0.0004556,0.0004556,0.0004556
80,610.117,0.53222,0.28111,0.78504,0.99377,0.9588,0.98442,0.9517,0.39467,0.28007,0.74948,0.0004358,0.0004358,0.0004358
81,617.637,0.54305,0.28449,0.78107,0.98967,0.95947,0.98461,0.94846,0.40439,0.28336,0.75072,0.000416,0.000416,0.000416
82,625.194,0.52311,0.27395,0.78364,0.98555,0.95567,0.98378,0.95243,0.34651,0.27384,0.7464,0.0003962,0.0003962,0.0003962
83,632.725,0.54393,0.28365,0.78436,0.9846,0.9601,0.98338,0.95429,0.33146,0.27448,0.746,0.0003764,0.0003764,0.0003764
84,640.31,0.56346,0.28677,0.78242,0.99172,0.95796,0.98473,0.95385,0.35416,0.27723,0.74753,0.0003566,0.0003566,0.0003566
85,647.862,0.55051,0.27849,0.78134,0.99095,0.95596,0.98404,0.95504,0.35171,0.27527,0.74529,0.0003368,0.0003368,0.0003368
86,655.423,0.51449,0.27416,0.78196,0.99583,0.95728,0.98383,0.95409,0.36258,0.27316,0.74774,0.000317,0.000317,0.000317
87,662.888,0.51809,0.27354,0.78299,0.99273,0.9573,0.98387,0.95342,0.38137,0.27636,0.74789,0.0002972,0.0002972,0.0002972
88,670.421,0.51864,0.27101,0.7826,0.99063,0.95696,0.98436,0.9567,0.33877,0.26871,0.74803,0.0002774,0.0002774,0.0002774
89,677.906,0.51767,0.26728,0.78189,0.99687,0.95635,0.98367,0.95192,0.38084,0.27605,0.7479,0.0002576,0.0002576,0.0002576
90,685.469,0.51474,0.26845,0.78129,0.99113,0.95996,0.98305,0.95457,0.33219,0.26115,0.74872,0.0002378,0.0002378,0.0002378
91,693.51,0.42313,0.2565,0.78451,0.99123,0.96096,0.98452,0.95628,0.3097,0.26231,0.74691,0.000218,0.000218,0.000218
92,700.8,0.41031,0.25196,0.78571,0.99072,0.96147,0.98461,0.95685,0.30943,0.26129,0.74792,0.0001982,0.0001982,0.0001982
93,708.016,0.40954,0.25181,0.78612,0.99585,0.96084,0.98463,0.9574,0.30626,0.26085,0.74688,0.0001784,0.0001784,0.0001784
94,715.274,0.40703,0.25029,0.78016,0.99274,0.95874,0.98341,0.9552,0.31495,0.26062,0.74574,0.0001586,0.0001586,0.0001586
95,722.458,0.41374,0.25043,0.78294,0.99073,0.96332,0.98395,0.95735,0.31428,0.2572,0.74579,0.0001388,0.0001388,0.0001388
96,729.603,0.40412,0.24729,0.78347,0.99234,0.96296,0.98494,0.95746,0.30668,0.25619,0.74595,0.000119,0.000119,0.000119
97,736.844,0.3941,0.24668,0.78536,0.99128,0.96196,0.98463,0.95637,0.29909,0.25754,0.7465,9.92e-05,9.92e-05,9.92e-05
98,744.095,0.39723,0.24214,0.78483,0.99687,0.95778,0.98469,0.95666,0.29279,0.25613,0.74545,7.94e-05,7.94e-05,7.94e-05
99,751.353,0.38281,0.23812,0.78324,0.99523,0.95696,0.98417,0.9566,0.2881,0.25429,0.74549,5.96e-05,5.96e-05,5.96e-05
100,758.58,0.38779,0.23891,0.78555,0.99583,0.95635,0.98367,0.95684,0.29342,0.25544,0.74581,3.98e-05,3.98e-05,3.98e-05
